n_features,fold,feature engineer,n_layer,layer_size,val_acc
117,1,no,1,2,80.97593142103527
117,1,no,1,4,82.34421364985162
117,1,no,1,8,82.52555225848994
1,1,yes,1,2,77.25024727992087
117,1,no,1,16,83.28387734915925
1,1,yes,1,4,77.25024727992087
117,1,no,1,32,82.7893175074184
1,1,yes,1,8,77.25024727992087
1,1,yes,1,16,77.25024727992087
117,1,no,1,64,82.93768545994065
1,1,yes,1,32,77.25024727992087
117,1,no,1,128,82.52555225848994
1,1,yes,1,64,77.25024727992087
1,1,yes,1,128,77.25024727992087
117,1,no,1,256,81.37157929442796
1,1,yes,1,256,77.25024727992087
117,1,no,2,2,83.21793603692713
1,1,yes,2,2,77.25024727992087
117,1,no,2,4,82.17936036927135
1,1,yes,2,4,77.25024727992087
117,1,no,2,8,82.558522914606
1,1,yes,2,8,77.25024727992087
1,1,yes,2,16,77.25024727992087
117,1,no,2,16,82.9047148038246
1,1,yes,2,32,77.25024727992087
1,1,yes,2,64,77.25024727992087
117,1,no,2,32,82.95417078799868
1,1,yes,2,128,77.25024727992087
1,1,yes,2,256,77.25024727992087
117,1,no,2,64,80.01978239366963
1,1,yes,3,2,66.89746125947906
117,1,no,2,128,82.83877349159249
1,1,yes,3,4,77.25024727992087
1,1,yes,3,8,77.25024727992087
1,1,yes,3,16,77.25024727992087
117,1,no,2,256,82.65743488295418
117,1,no,3,2,77.2667326079789
1,1,yes,3,32,77.25024727992087
1,1,yes,3,64,77.25024727992087
117,1,no,3,4,83.02011210023079
1,1,yes,3,128,77.25024727992087
117,1,no,3,8,82.21233102538741
1,1,yes,3,256,77.25024727992087
2,1,yes,1,2,74.66205077481042
117,1,no,3,16,78.93175074183976
2,1,yes,1,4,77.05242334322453
2,1,yes,1,8,79.34388394329048
2,1,yes,1,16,78.76689746125948
117,1,no,3,32,82.19584569732937
2,1,yes,1,32,78.96472139795581
2,1,yes,1,64,78.98120672601385
117,1,no,3,64,73.67293109132872
2,1,yes,1,128,79.08011869436203
2,1,yes,1,256,78.66798549291131
117,1,no,3,128,83.41575997362347
2,1,yes,2,2,64.77085393999342
2,1,yes,2,4,78.8987800857237
2,1,yes,2,8,79.14606000659413
2,1,yes,2,16,79.3603692713485
117,1,no,3,256,82.01450708869106
117,2,no,1,2,82.66775777414075
2,1,yes,2,32,78.96472139795581
117,2,no,1,4,82.58592471358429
117,2,no,1,8,82.74959083469722
2,1,yes,2,64,78.84932410154963
117,2,no,1,16,83.69885433715221
117,2,no,1,32,83.89525368248772
2,1,yes,2,128,79.50873722387075
117,2,no,1,64,84.15711947626842
117,2,no,1,128,83.99345335515548
2,1,yes,2,256,78.32179360369271
117,2,no,1,256,84.12438625204582
2,1,yes,3,2,75.0576986482031
117,2,no,2,2,82.68412438625205
2,1,yes,3,4,66.12265084075173
117,2,no,2,4,82.60229132569557
2,1,yes,3,8,79.45928123969667
117,2,no,2,8,81.98036006546646
117,2,no,2,16,82.0621931260229
2,1,yes,3,16,79.78898780085724
117,2,no,2,32,83.69885433715221
2,1,yes,3,32,78.88229475766568
117,2,no,2,64,82.24222585924713
2,1,yes,3,64,79.31091328717442
117,2,no,2,128,83.35515548281506
2,1,yes,3,128,78.23936696340257
117,2,no,2,256,83.7315875613748
117,2,no,3,2,82.91325695581014
117,2,no,3,4,83.5024549918167
2,1,yes,3,256,78.99769205407188
4,1,yes,1,2,78.58555885262116
117,2,no,3,8,82.29132569558102
4,1,yes,1,4,78.51961754038905
117,2,no,3,16,83.42062193126023
4,1,yes,1,8,81.19024068578965
4,1,yes,1,16,83.23442136498517
117,2,no,3,32,82.01309328968904
4,1,yes,1,32,81.61885921529839
4,1,yes,1,64,82.3277283217936
117,2,no,3,64,81.04746317512274
4,1,yes,1,128,83.74546653478404
4,1,yes,1,256,83.81140784701616
4,1,yes,2,2,55.654467523903726
117,2,no,3,128,82.0621931260229
4,1,yes,2,4,62.95746785361028
4,1,yes,2,8,81.40454995054401
4,1,yes,2,16,81.2232113419057
117,2,no,3,256,81.71849427168576
4,1,yes,2,32,84.1905703923508
117,3,no,1,2,82.7986906710311
4,1,yes,2,64,84.75107154632377
117,3,no,1,4,82.66775777414075
117,3,no,1,8,82.58592471358429
4,1,yes,2,128,84.25651170458292
117,3,no,1,16,82.63502454991817
117,3,no,1,32,83.10965630114566
117,3,no,1,64,83.45335515548281
4,1,yes,2,256,84.2400263765249
117,3,no,1,128,84.58265139116203
4,1,yes,3,2,60.567095285196174
117,3,no,1,256,84.41898527004909
4,1,yes,3,4,80.46488625123641
