method,fold,acc
linear_unreg.1,1,87.52941176470588
linear_unreg.2,1,84.23529411764706
linear_unreg.4,1,82.35294117647058
linear_unreg.1,2,81.54981549815497
linear_unreg.2,2,81.54981549815497
linear_unreg.4,2,87.4538745387454
mmit.1,1,82.82352941176471
mmit.2,1,74.58823529411764
mmit.4,1,69.6470588235294
mmit.1,2,82.65682656826569
mmit.2,2,80.81180811808119
mmit.4,2,80.81180811808119
mmit.100,1,72.47058823529412
mmit.100,2,81.91881918819189
linear_L1reg.100,1,86.82352941176471
linear_L1reg.100,2,84.13284132841329
mlp.4,1,79.76470588235294
mlp.4,2,85.23985239852398
mlp.1,1,87.76470588235294
mlp.2,1,85.41176470588235
mlp.1,2,82.65682656826569
mlp.2,2,82.28782287822878
AFT_XGboost.100,1,87.76470588235294
AFT_XGboost.100,2,83.02583025830258
linear_piecewise_2_regions.4,1,68.70588235294117
linear_piecewise_2_regions.4,2,83.39483394833948
mlp,1,72.94117647058823
mlp,2,82.28782287822878
